question,table,llm_answer,true_answer,correctness
when was their lowest scoring win?," #   Date Opponent Score            Win         Loss           Save Attendance Record
74 July 1 Mariners 4 - 3    Perry (6-7)   Leal (5-6)   Caudill (14)     21,004  33-41
75 July 2  @ Twins 9 - 4   Murray (4-3) Havens (3-6) McLaughlin (3)      7,503  34-41
76 July 3  @ Twins 2 - 1 O'Connor (1-2) Clancy (7-5)                     9,591  34-42",The lowest scoring win occurred on July 3 with a score of 2 - 1.,July 31,wrong
how many total people were impacted by the southern bell telephone co. strike in 1955?,"Year                     Company Number of Members Affected Duration of Strike                                                                          Notes
1955 Southern Bell Telephone Co.                     50,000            72 days Strike was in answer to management's effort to prohibit workers from striking.
1968                        AT&T                    200,000            18 days      Wage increases to compensate for cost of living, and medical benefits won
1971                 Bell System                    400,000             1 week                                Cost of Living Allowance (COLA) won for workers","The company with the highest average number of members affected by strikes in 1955 is Southern Bell Telephone Co., with an average of 50,000 members affected.","50,000",correct
what is the difference in attendance for week 5 and 9,"Week               Date              Opponent  Result Record Attendance
   1 September 14, 1969 at Cincinnati Bengals L 27–21  0–1–0     24,487
   2 September 20, 1969    at Oakland Raiders L 20–17  0–2–0     48,477
   3 September 28, 1969     at Houston Oilers L 20–10  0–3–0     40,387","The difference in attendance between week 5 and week 9 is 22,408.","22,408",correct
"in the 2003 summer universiade, which country won the most medals other than gold?","Rank      Nation Gold Silver Bronze Total
   1       China   41     27     13    81
   2      Russia   26     22     34    82
   3 South Korea   26     12     17    55","The nation with the highest average total medals in the 2003 Summer Universiade, excluding gold, is the United States with an average of 36 medals.",Russia,wrong
peter maes and hein vanhaezebrouck are both a part of which division?,"               Name    Date of birth     Club                Division   Appointed   Time as manager
Francis Bosschaerts  15 October 1956    Heist Belgian Second Division 1 June 1999 15 years, 25 days
         Peter Maes      1 June 1964  Lokeren      Belgian Pro League 20 May 2010  4 years, 37 days
Hein Vanhaezebrouck 16 February 1964 Kortrijk      Belgian Pro League 6 June 2010  4 years, 20 days",Peter Maes and Hein Vanhaezebrouck are both part of the Belgian Pro League.,Belgian Pro League,correct
"what country won the same number of bronze as great britain, yet did not win a gold medal?","Rank              Nation Gold Silver Bronze Total
   1 Great Britain (GBR)    6      3      2    11
   2  South Africa (RSA)    1      2      1     4
   3        Canada (CAN)    1      1      0     2",Israel (ISR) won the same number of bronze medals as Great Britain but did not win a gold medal.,Israel,correct
how many teams won at least three bronze medals in this event?,"Rank      Nation Gold Silver Bronze Total
   1 South Korea    7      6      1    14
   2       China    5      5      2    12
   3       Japan    3      1      5     9",There are 5 teams that won at least three bronze medals in this event.,4,wrong
how long did it take this competitor to finish the 4x400 meter relay at universiade in 2005?,"Year                   Competition             Venue Position         Event   Notes
2001     World Youth Championships Debrecen, Hungary      2nd         400 m   47.12
2001     World Youth Championships Debrecen, Hungary      1st  Medley relay 1:50.46
2001 European Junior Championships   Grosseto, Italy      1st 4x400 m relay 3:06.12",The competitor finished the 4x400 meter relay at the Universiade in 2005 in 3:02.57.,3:02.57,correct
how long did tigerair fly into chiang mai?,"     City   Country IATA ICAO                                   Airport Commenced      Ended
  Bandung Indonesia  BDO WICC Husein Sastranegara International Airport      2013    present
Bangalore     India  BLR VOBL           Bengaluru International Airport   2008[N] present[N]
  Bangkok  Thailand  BKK VTBS                      Suvarnabhumi Airport      2004    present",The flight duration for flights to Chiang Mai is still ongoing.,3 years,wrong
what is the number of times that they placed 1st?," Season Tier   Division Place
1963–86    5   Regional     —
1986/87    5 Preferente   2nd
1987/88    4         3ª  15th","The table contains non-numeric data in the 'Place' column, which prevents calculating the average. Please ensure the 'Place' column contains numeric data.",2,wrong
how many singles reached the us mainstream rock chart?,"Year                               Title US Hot 100 US Modern Rock US Mainstream Rock          Album
1994                    ""Neenah Menasha""          -              -                  - Rotting Piñata
1994                            ""Plowed""          -              5                  9 Rotting Piñata
1995 ""Molly (16 Candles Down the Drain)""         55              3                 11 Rotting Piñata","The US Mainstream Rock with the highest average US Mainstream Rock is: US Mainstream Rock: 11, Average US Mainstream Rock: 11.00",5,wrong
what were the number of starters in 2008?,"Year         Winner          Second          Third Starters
2013 New Year's Day          Havana Strong Mandate       13
2012 Shanghai Bobby He's Had Enough   Capo Bastone        9
2011         Hansen      Union Rags Creative Cause       13",The Year with the highest average starters is 1991 with an average of 14.0.,12,wrong
"which ruler came first, si jun or min?","State      Type   Name   Title Royal house   From     To
  Chu Sovereign   Huai    King          Mi 328 BC 299 BC
  Han Sovereign  Xiang Marquis           — 311 BC 296 BC
   Lu Sovereign Wen II    Duke          Ji 302 BC 280 BC",Min came before Si Jun.,Min,correct
name the only multi-ethnic parish.,"        Name               Town         Deanery Vicariate Founded Original Ethnic Community
St. Adalbert            Enfield         Enfield  Hartford    1915                    Polish
   St. Aedan          New Haven       New Haven New Haven    1900                      None
   St. Agnes Woodmont (Milford) West Shore Line New Haven    1906                      None","The only multi-ethnic parish is St. Adalbert in Enfield, founded in 1915.",St. Anne-Immaculate Conception,wrong
how many consecutive years did pavel loskutov run in the joongang seoul marathon?,"Year            Competition              Venue Position    Event   Notes
1994 European Championships  Helsinki, Finland     48th Marathon 2:22:49
1995    World Championships Gothenburg, Sweden     49th Marathon 2:33:42
1996        Summer Olympics   Atlanta, Georgia     58th Marathon 2:23:14",Pavel Loskutov did not participate in the Joongang Seoul Marathon.,3,wrong
who was the top scorer from ireland?,"Place Position Number           Name League Two FA Cup League Cup FL Trophy Total
    1       MF      4      Ryan Hall         10      1          0         3    14
    2       DF      6   Bilel Mohsni         13      0          0         0    13
    3       FW     22 Liam Dickinson         10      1          0         1    12","The player with the highest number of goals scored from Ireland is Ryan Hall, with a total of 14 goals.",Kane Ferdinand,wrong
